experimento,intervalo,inicio_iloc_inclusivo,fim_iloc_exclusivo,numero_frames,percentual_frames_preservados,media_mm,mediana_mm,desvio_padrao_mm,iqr_mm,tendencia_mm_por_10pct,media_perfil_completo_mm,mudanca_media_mm
L1,0-100%,0,4234,4234,100.0,10.659663288689503,10.606422626695867,0.9172791235395847,1.335008596698918,0.31192576954800494,10.659663288689503,0.0
L1,0-90%,0,3811,3811,90.00944733112895,10.49115659904294,10.48374397995915,0.8061298126493125,1.2564786792460403,0.30275933606296984,10.659663288689503,-0.1685066896465628
L1,10-90%,424,3811,3387,79.99527633443552,10.674593980296583,10.606798301354129,0.654288840902733,1.189905419435112,0.27616514501228046,10.659663288689503,0.014930691607080604
L1,20-90%,847,3811,2964,70.00472366556448,10.815225040910788,10.829888754897764,0.5665571948678985,1.1900468771768047,0.2717861968769059,10.659663288689503,0.15556175222128488
L1,30-90%,1271,3811,2540,59.99055266887105,10.944206414633157,10.994188443402855,0.5065681726725081,0.9423590094345293,0.27998188549228525,10.659663288689503,0.28454312594365483
L1,40-90%,1694,3811,2117,50.0,11.082114002089272,11.229778195761488,0.4386637029088073,0.722723835155147,0.28362804148578985,10.659663288689503,0.42245071339976903
L2,0-100%,0,3950,3950,100.0,12.66967071671324,12.956008622668014,0.8828817916916537,0.5611123167094245,0.23833704028416655,12.66967071671324,0.0
L2,0-90%,0,3555,3555,90.0,12.601739078763156,12.925953224935473,0.8988006388198593,0.6322143326504754,0.27816800949377074,12.66967071671324,-0.06793163795008361
L2,10-90%,395,3555,3160,80.0,12.87306696807319,12.959992825486415,0.4881414065175782,0.4386238961337199,0.16553146707499922,12.66967071671324,0.20339625135994943
L2,20-90%,790,3555,2765,70.0,13.018125114943144,13.012352359997978,0.26126990734984085,0.3707357823531243,0.0999977998914481,12.66967071671324,0.3484543982299044
L2,30-90%,1185,3555,2370,60.0,13.070596073603678,13.119347748693535,0.24416367709339146,0.28896745872144436,0.09766889051467331,12.66967071671324,0.40092535689043807
L2,40-90%,1580,3555,1975,50.0,13.136514505568083,13.173807635260111,0.18959927302828383,0.22836414694509877,0.06819012849621728,12.66967071671324,0.46684378885484357
L3,0-100%,0,3850,3850,100.0,15.017101600551998,14.79363940439633,0.6537169538306027,0.5319238865628808,0.142501433019631,15.017101600551998,0.0
L3,0-90%,0,3465,3465,90.0,15.020612306609754,14.770738866847996,0.6815866110450655,0.5298049927777786,0.19939163198072796,15.017101600551998,0.0035107060577566074
L3,10-90%,385,3465,3080,80.0,15.089726986152648,14.867296939935342,0.6915329000624988,0.6731996938524087,0.22491428544863035,15.017101600551998,0.07262538560065046
L3,20-90%,770,3465,2695,70.0,15.16406043892387,14.93538037748474,0.7079065326641067,0.6513697829589997,0.26318203254189615,15.017101600551998,0.14695883837187296
L3,30-90%,1155,3465,2310,60.0,15.242857662191142,14.955630215296935,0.7333899304535931,0.6498252220641252,0.32397164395168054,15.017101600551998,0.22575606163914408
L3,40-90%,1540,3465,1925,50.0,15.368433229026824,14.993879908942198,0.7392983509647505,0.9240761919021647,0.3827569351338862,15.017101600551998,0.351331628474826
L4,0-100%,0,3050,3050,100.0,8.865844050089082,8.91903149561305,1.0421947587809588,1.6026226568252202,0.34500784117033223,8.865844050089082,0.0
L4,0-90%,0,2745,2745,90.0,8.691115385270288,8.76064954220566,0.9493197369193096,1.3079879379758186,0.3438069812144249,8.865844050089082,-0.1747286648187938
L4,10-90%,305,2745,2440,80.0,8.924234206601152,8.91903149561305,0.6934177615284669,1.256706835073354,0.2890314231623118,8.865844050089082,0.058390156512070135
L4,20-90%,610,2745,2135,70.0,9.047309030734613,9.0419548027352,0.6498277512470878,1.222498758296327,0.309018441697635,8.865844050089082,0.18146498064553107
L4,30-90%,915,2745,1830,60.0,9.173718787129062,9.220599781177851,0.6150884282259813,1.0400121357661423,0.3447104156762323,8.865844050089082,0.30787473703997925
L4,40-90%,1220,2745,1525,50.0,9.377039167352688,9.340642436714289,0.4506579012379806,0.8126019242624043,0.3003548447547337,8.865844050089082,0.5111951172636058
L5,0-100%,0,3100,3100,100.0,11.113597596255506,11.036193997276534,0.5783007602313625,0.8250848339416361,0.1894586265016398,11.113597596255506,0.0
L5,0-90%,0,2790,2790,90.0,10.985210925394956,10.978939291335166,0.4499302297152792,0.7558743551035398,0.16391111761601435,11.113597596255506,-0.1283866708605501
L5,10-90%,310,2790,2480,80.0,11.075689541007545,11.036193997276534,0.3910301974826935,0.6822665785784174,0.1564443349593915,11.113597596255506,-0.037908055247960704
L5,20-90%,620,2790,2170,70.0,11.158353677964241,11.152813972044868,0.3462747676911575,0.6810141245940677,0.1522628472514079,11.113597596255506,0.04475608170873535
L5,30-90%,930,2790,1860,60.0,11.21937298012439,11.232933692597616,0.33148239256909295,0.6083420426152397,0.16821019135313267,11.113597596255506,0.10577538386888463
L5,40-90%,1240,2790,1550,50.0,11.296562549106126,11.367006354046818,0.30449370033836476,0.40459980531551487,0.18302047671799582,11.113597596255506,0.18296495285061987
L6,0-100%,0,2950,2950,100.0,12.68159170039179,12.696453580031248,0.5416685018023017,0.7309924220220125,0.1488409773757876,12.68159170039179,0.0
L6,0-90%,0,2655,2655,90.0,12.674234766000131,12.679421577328156,0.5652675766371097,0.8179022304414492,0.1998123730075763,12.68159170039179,-0.007356934391658854
L6,10-90%,295,2655,2360,80.0,12.766737809696238,12.736155536112374,0.5311855944678271,0.7729259282374681,0.20674105996222225,12.68159170039179,0.0851461093044481
L6,20-90%,590,2655,2065,70.0,12.898562587977406,12.818985817943956,0.4281392081548221,0.6694650402982614,0.17949164128857,12.68159170039179,0.21697088758561556
L6,30-90%,885,2655,1770,60.0,12.960764591687024,13.014460290784312,0.41521974664215855,0.6812443301012685,0.20864214406377962,12.68159170039179,0.27917289129523404
L6,40-90%,1180,2655,1475,50.0,13.0211297970081,13.078361502684514,0.427670244872718,0.7569198395223076,0.2751252948153674,12.68159170039179,0.3395380966163106
L7,0-100%,0,1750,1750,100.0,6.90777270126292,6.719717155203136,0.4828965882819782,0.7438264461002149,0.14612772082840061,6.90777270126292,0.0
L7,0-90%,0,1575,1575,90.0,6.803709685377129,6.719717155203136,0.38738390049198856,0.6189213169266052,0.1231637633354489,6.90777270126292,-0.10406301588579137
L7,10-90%,175,1575,1400,80.0,6.868236316786536,6.719717155203136,0.36057952605839394,0.5917077780175068,0.12031448008949548,6.90777270126292,-0.03953638447638408
L7,20-90%,350,1575,1225,70.0,6.906361597395968,6.719717155203136,0.3686956858908128,0.5724035653149606,0.14142468211060616,6.90777270126292,-0.0014111038669524234
L7,30-90%,525,1575,1050,60.0,6.941624834082999,6.7544374542749015,0.38695803857374006,0.7020777825245741,0.1838657246886783,6.90777270126292,0.03385213282007893
L7,40-90%,700,1575,875,50.0,6.984774150936278,6.896551817182166,0.41039170653748475,0.8546666685625075,0.2556665799939561,6.90777270126292,0.0770014496733582
L8,0-100%,0,1850,1850,100.0,8.800813038265131,8.767916803072048,0.6337437239616168,0.8942693852708707,0.2022224911467346,8.800813038265131,0.0
L8,0-90%,0,1665,1665,90.0,8.697573577258485,8.729795425667385,0.5823705885616709,0.7223766344861371,0.20087374838952868,8.800813038265131,-0.1032394610066465
L8,10-90%,185,1665,1480,80.0,8.820505091784302,8.767916803072048,0.47511965527706934,0.6562639447395426,0.17987409699670892,8.800813038265131,0.01969205351917047
L8,20-90%,370,1665,1295,70.0,8.892502998293988,8.783492562624367,0.45928498160682635,0.7011996411494668,0.19613695398038253,8.800813038265131,0.09168996002885699
L8,30-90%,555,1665,1110,60.0,8.996965748919461,8.838588037256642,0.4074349062895383,0.6099420384745784,0.19154794539841954,8.800813038265131,0.1961527106543297
L8,40-90%,740,1665,925,50.0,9.09160035800341,8.99610174115263,0.3787740149216337,0.6034791230611756,0.1936056771227078,8.800813038265131,0.2907873197382784
L9,0-100%,0,1900,1900,100.0,9.725098708619061,9.811848646508803,0.5377828604522547,0.6900818086975633,0.05268215787463505,9.725098708619061,0.0
L9,0-90%,0,1710,1710,90.0,9.663715339056264,9.625595055925425,0.530679276657757,0.6100529135481452,0.02738268180320968,9.725098708619061,-0.06138336956279744
L9,10-90%,190,1710,1520,80.0,9.799538855209594,9.811848646508803,0.3500289319807914,0.6313176330026344,-0.07863848491443101,9.725098708619061,0.07444014659053266
L9,20-90%,380,1710,1330,70.0,9.760469290144705,9.6946021653586,0.3448909475950651,0.575381225706149,-0.08143724773105537,9.725098708619061,0.035370581525643985
L9,30-90%,570,1710,1140,60.0,9.704146918630126,9.57854415463409,0.338646771159467,0.44843577092932385,-0.062494038911642735,9.725098708619061,-0.020951789988934877
L9,40-90%,760,1710,950,50.0,9.61829167916015,9.57854415463409,0.30063875808397594,0.33172253552490716,0.018320219635534398,9.725098708619061,-0.10680702945891163
