experimento,intervalo,numero_frames,percentual_frames_preservados,media_mm,mediana_mm,desvio_padrao_mm,iqr_mm,coef_variacao_percentual,minimo_mm,maximo_mm,amplitude_mm
L1,0–100%,4234,100.0,10.659663288689503,10.606422626695867,0.9172791235395847,1.335008596698918,8.605141632502304,8.9131456309016,12.250667122648895,3.337521491747296
L1,20–90%,2964,70.00472366556448,10.815225040910788,10.829888754897764,0.5665571948678985,1.1900468771768047,5.238515081515001,9.894769599062569,11.946398477209575,2.0516288781470067
L1,40–90%,2117,50.0,11.082114002089272,11.229778195761488,0.4386637029088073,0.722723835155147,3.9583034683284035,10.208889268874078,11.946398477209575,1.7375092083354975
L2,0–100%,3950,100.0,12.66967071671324,12.956008622668014,0.8828817916916537,0.5611123167094245,6.968466753654435,10.020732365181464,13.68449911735988,3.6637667521784163
L2,20–90%,2765,70.0,13.018125114943144,13.012352359997978,0.26126990734984085,0.3707357823531243,2.006970320556655,12.439529832639058,13.661022399291143,1.2214925666520848
L2,40–90%,1975,50.0,13.136514505568083,13.173807635260111,0.18959927302828383,0.22836414694509877,1.4432996891825431,12.785072327990145,13.661022399291143,0.8759500713009984
L3,0–100%,3850,100.0,15.017101600551998,14.79363940439633,0.6537169538306027,0.5319238865628808,4.353149970075274,14.305385423327504,16.82986520391471,2.524479780587207
L3,20–90%,2695,70.0,15.16406043892387,14.93538037748474,0.7079065326641067,0.6513697829589997,4.668317799941081,14.458384197908549,16.82986520391471,2.371481006006162
L3,40–90%,1925,50.0,15.368433229026824,14.993879908942198,0.7392983509647505,0.9240761919021647,4.810499157249259,14.45850344870713,16.82986520391471,2.3713617552075803
L4,0–100%,3050,100.0,8.865844050089082,8.91903149561305,1.0421947587809588,1.6026226568252202,11.75516682780459,6.047538606485964,10.488667571172831,4.441128964686867
L4,20–90%,2135,70.0,9.047309030734613,9.0419548027352,0.6498277512470878,1.222498758296327,7.182552834655675,8.038111881731837,10.275942829191605,2.237830947459768
L4,40–90%,1525,50.0,9.377039167352688,9.340642436714289,0.4506579012379806,0.8126019242624043,4.805972260487098,8.4949589561308,10.275942829191605,1.780983873060805
L5,0–100%,3100,100.0,11.113597596255506,11.036193997276534,0.5783007602313625,0.8250848339416361,5.203542374309187,10.162268124750913,12.514653215601458,2.352385090850545
L5,20–90%,2170,70.0,11.158353677964241,11.152813972044868,0.3462747676911575,0.6810141245940677,3.103278294314944,10.53106011314913,11.835786988338729,1.3047268751895995
L5,40–90%,1550,50.0,11.296562549106126,11.367006354046818,0.30449370033836476,0.40459980531551487,2.6954544713467614,10.687736448089549,11.835786988338729,1.14805054024918
L6,0–100%,2950,100.0,12.68159170039179,12.696453580031248,0.5416685018023017,0.7309924220220125,4.271297441200281,11.790878554043909,13.652424030528644,1.8615454764847357
L6,20–90%,2065,70.0,12.898562587977406,12.818985817943956,0.4281392081548221,0.6694650402982614,3.3192784485449986,11.884074477774613,13.652424030528644,1.7683495527540316
L6,40–90%,1475,50.0,13.0211297970081,13.078361502684514,0.427670244872718,0.7569198395223076,3.284432699311429,12.3077927636829,13.652424030528644,1.3446312668457452
L7,0–100%,1750,100.0,6.90777270126292,6.719717155203136,0.4828965882819782,0.7438264461002149,6.9906264893992835,6.145004503771289,7.913351123561587,1.7683466197902984
L7,20–90%,1225,70.0,6.906361597395968,6.719717155203136,0.3686956858908128,0.5724035653149606,5.338493803015309,6.454465162234591,7.648099130593042,1.1936339683584514
L7,40–90%,875,50.0,6.984774150936278,6.896551817182166,0.41039170653748475,0.8546666685625075,5.875518630512535,6.454465162234591,7.648099130593042,1.1936339683584514
L8,0–100%,1850,100.0,8.800813038265131,8.767916803072048,0.6337437239616168,0.8942693852708707,7.200967924283325,7.014333442457637,9.916042993141838,2.9017095506842008
L8,20–90%,1295,70.0,8.892502998293988,8.783492562624367,0.45928498160682635,0.7011996411494668,5.164856078147395,8.115368519262848,9.916042993141838,1.8006744738789902
L8,40–90%,925,50.0,9.09160035800341,8.99610174115263,0.3787740149216337,0.6034791230611756,4.166197369071506,8.501067161239419,9.916042993141838,1.414975831902419
L9,0–100%,1900,100.0,9.725098708619061,9.811848646508803,0.5377828604522547,0.6900818086975633,5.529844750836657,8.088548397246566,10.429970301712675,2.3414219044661095
L9,20–90%,1330,70.0,9.760469290144705,9.6946021653586,0.3448909475950651,0.575381225706149,3.533548821707854,9.152831081094796,10.336471800344713,1.183640719249917
L9,40–90%,950,50.0,9.61829167916015,9.57854415463409,0.30063875808397594,0.33172253552490716,3.125698077293359,9.152831081094796,10.336471800344713,1.183640719249917
